Location|Position|Local Time|Conditions Time|Temperature|Pressure|Humidity
Waitara|-33.7,151.1,171|2017-08-26 14:00:00|Sunny|20.05|1021.41|40
Waitara|-33.7,151.1,171|2017-08-26 15:00:00|Sunny|19.64|1020.71|41
Waitara|-33.7,151.1,171|2017-08-26 16:00:00|Sunny|18.52|1020.24|45
Waitara|-33.7,151.1,171|2017-08-26 17:00:00|Sunny|16.52|1020.17|53
Waitara|-33.7,151.1,171|2017-08-26 18:00:00|Sunny|14.28|1020.3|64
Waitara|-33.7,151.1,171|2017-08-26 19:00:00|Sunny|12.53|1020.48|74
Waitara|-33.7,151.1,171|2017-08-26 20:00:00|Sunny|11.54|1020.72|77
Waitara|-33.7,151.1,171|2017-08-26 21:00:00|Sunny|10.61|1020.98|78
Waitara|-33.7,151.1,171|2017-08-26 22:00:00|Sunny|9.54|1021.04|80
Waitara|-33.7,151.1,171|2017-08-26 23:00:00|Sunny|8.62|1020.77|82
Waitara|-33.7,151.1,171|2017-08-27 00:00:00|Rain|7.99|1020.32|81
Waitara|-33.7,151.1,171|2017-08-27 01:00:00|Rain|7.64|1019.85|80
Waitara|-33.7,151.1,171|2017-08-27 02:00:00|Rain|7.31|1019.27|79
Waitara|-33.7,151.1,171|2017-08-27 03:00:00|Rain|6.7|1018.67|80
Waitara|-33.7,151.1,171|2017-08-27 04:00:00|Rain|5.91|1018.28|82
Waitara|-33.7,151.1,171|2017-08-27 05:00:00|Rain|5.26|1018.28|85
Waitara|-33.7,151.1,171|2017-08-27 06:00:00|Rain|5.09|1018.51|86
Waitara|-33.7,151.1,171|2017-08-27 07:00:00|Rain|5.99|1018.61|82
Waitara|-33.7,151.1,171|2017-08-27 08:00:00|Rain|8.23|1018.57|70
Waitara|-33.7,151.1,171|2017-08-27 09:00:00|Rain|10.96|1018.4|59
Waitara|-33.7,151.1,171|2017-08-27 10:00:00|Rain|13.19|1018.06|51
Waitara|-33.7,151.1,171|2017-08-27 11:00:00|Rain|14.78|1017.3|45
Waitara|-33.7,151.1,171|2017-08-27 12:00:00|Sunny|16.27|1016.33|40
Waitara|-33.7,151.1,171|2017-08-27 13:00:00|Sunny|17.19|1015.6|37
Waitara|-33.7,151.1,171|2017-08-27 14:00:00|Sunny|17.53|1015.25|36
Waitara|-33.7,151.1,171|2017-08-27 15:00:00|Sunny|17.08|1015.16|38
Waitara|-33.7,151.1,171|2017-08-27 16:00:00|Rain|15.87|1015.38|43
Waitara|-33.7,151.1,171|2017-08-27 17:00:00|Rain|13.59|1016.1|51
Waitara|-33.7,151.1,171|2017-08-27 18:00:00|Rain|10.99|1017.15|63
Waitara|-33.7,151.1,171|2017-08-27 19:00:00|Rain|8.92|1018.06|74
Waitara|-33.7,151.1,171|2017-08-27 20:00:00|Rain|7.92|1018.68|76
Waitara|-33.7,151.1,171|2017-08-27 21:00:00|Rain|7.16|1019.14|76
Waitara|-33.7,151.1,171|2017-08-27 22:00:00|Rain|6.56|1019.46|74
Waitara|-33.7,151.1,171|2017-08-27 23:00:00|Rain|5.94|1019.59|74
Waitara|-33.7,151.1,171|2017-08-28 00:00:00|Rain|5.51|1019.55|72
Waitara|-33.7,151.1,171|2017-08-28 01:00:00|Rain|5.24|1019.47|70
Waitara|-33.7,151.1,171|2017-08-28 02:00:00|Rain|5|1019.32|69
Waitara|-33.7,151.1,171|2017-08-28 03:00:00|Rain|4.58|1019.13|70
Waitara|-33.7,151.1,171|2017-08-28 04:00:00|Rain|4.17|1019.12|71
Waitara|-33.7,151.1,171|2017-08-28 05:00:00|Sunny|3.97|1019.44|71
Waitara|-33.7,151.1,171|2017-08-28 06:00:00|Sunny|4.22|1019.96|69
Waitara|-33.7,151.1,171|2017-08-28 07:00:00|Sunny|5.24|1020.4|65
Waitara|-33.7,151.1,171|2017-08-28 08:00:00|Sunny|7.17|1020.74|60
Waitara|-33.7,151.1,171|2017-08-28 09:00:00|Sunny|9.44|1021.01|54
Waitara|-33.7,151.1,171|2017-08-28 10:00:00|Sunny|11.3|1021.08|50
Waitara|-33.7,151.1,171|2017-08-28 11:00:00|Sunny|12.74|1020.71|47
Waitara|-33.7,151.1,171|2017-08-28 12:00:00|Sunny|14.03|1020.14|43
Waitara|-33.7,151.1,171|2017-08-28 13:00:00|Sunny|15.07|1019.74|41
Waitara|-33.7,151.1,171|2017-08-28 14:00:00|Sunny|15.61|1019.61|40
Wynyard|-40.98,145.72,58|2017-08-26 14:00:00|Rain|12.71|1015.78|74
Wynyard|-40.98,145.72,58|2017-08-26 15:00:00|Rain|12.49|1014.93|74
Wynyard|-40.98,145.72,58|2017-08-26 16:00:00|Rain|12.15|1014.18|75
Wynyard|-40.98,145.72,58|2017-08-26 17:00:00|Rain|11.69|1013.54|77
Wynyard|-40.98,145.72,58|2017-08-26 18:00:00|Rain|11.17|1012.98|80
Wynyard|-40.98,145.72,58|2017-08-26 19:00:00|Rain|10.5|1012.69|83
Wynyard|-40.98,145.72,58|2017-08-26 20:00:00|Rain|9.59|1012.77|86
Wynyard|-40.98,145.72,58|2017-08-26 21:00:00|Rain|8.63|1013.09|89
Wynyard|-40.98,145.72,58|2017-08-26 22:00:00|Rain|7.69|1013.53|90
Wynyard|-40.98,145.72,58|2017-08-26 23:00:00|Rain|6.96|1014.12|87
Wynyard|-40.98,145.72,58|2017-08-27 00:00:00|Rain|6.25|1014.84|82
